id,event_time,zipcode,price,bedrooms,bathrooms,sqft_living,city,state,county,price_per_sqft,avg_price_by_city,avg_price_per_sqft_by_city,above_avg_price_per_sqft
bf6245bf-8fd8-4271-b2fc-9b52c0f364f0,2024-10-27T17:39:31Z,85022.0,325000.0,2.0,3.0,1344.0,Phoenix,Arizona,Maricopa,241.8154761904762,600357.8486005089,306.3450945474903,0
73cb3cf7-35ed-4332-81b1-4c250addba0a,2024-10-27T17:39:31Z,70130.0,1200000.0,6.0,8.0,4182.0,New Orleans,Louisiana,Orleans,286.94404591104734,484183.95249695494,239.3294423596209,1
d2c5855c-90fa-446f-8401-698cc1524630,2024-10-27T17:39:31Z,6824.0,499999.0,3.0,3.0,2500.0,Fairfield,Connecticut,Unknown,199.9996,630742.8888888889,252.29715555555555,0
f7795e33-ca5a-4735-9caf-f5357bb220a7,2024-10-27T17:39:31Z,37207.0,495000.0,4.0,2.0,1300.0,Nashville,Tennessee,Davidson,380.7692307692308,846954.9825783973,389.1557669288414,0
180838dc-47c3-4ce0-ba5c-3ef3f53e7052,2024-10-27T17:39:31Z,75098.0,389900.0,3.0,3.0,2500.0,Wylie,Texas,Unknown,155.96,388394.0,155.35760000000002,1
7acaa6e6-e003-47c9-9b64-aaa6ce34e0e7,2024-10-27T17:39:31Z,27610.0,355000.0,3.0,3.0,2177.0,Raleigh,North Carolina,Wake,163.0684428112081,616497.9795221844,265.3767071673069,0
bfae4d79-b76e-4aa6-9f1a-6a21c24424bb,2024-10-27T17:39:31Z,48224.0,220000.0,3.0,3.0,2017.0,Detroit,Michigan,Wayne,109.07288051561726,137365.1791831357,96.3104118123206,1
e5c31025-5963-45b6-abd0-c11784b2bcfa,2024-10-27T17:39:31Z,75201.0,6950000.0,3.0,3.0,2500.0,Dallas,Texas,Unknown,2780.0,810558.3724434876,300.4514185213819,1
5f560a95-13d5-40b5-9306-eda599b27455,2024-10-27T17:39:31Z,23005.0,599949.0,3.0,3.0,2500.0,Ashland,Virginia,Unknown,239.9796,549958.1666666666,219.98326666666665,1
d1c005f3-15a8-42df-8c5a-79543dd4cf88,2024-10-27T17:39:31Z,46202.0,485000.0,3.0,4.0,3164.0,Indianapolis,Indiana,Marion,153.28697850821746,284834.3126410835,156.12239677079853,0
a686423d-0979-40b3-b74d-695b05e56edb,2024-10-27T17:39:31Z,98178.0,577000.0,3.0,1.0,1560.0,Seattle,Washington,King,369.87179487179486,734215.6684438954,424.37797356681955,0
6d73bc60-48f9-4e02-a512-44a125e90c8e,2024-10-27T17:39:31Z,Unknown,471500.0,4.0,3.0,2370.0,Seattle,Unknown,Unknown,198.9451476793249,734215.6684438954,424.37797356681955,0
b32148b0-5bf2-4350-9006-8f20d9acdd93,2024-10-27T17:39:31Z,48228.0,149900.0,3.0,2.0,1042.0,Detroit,Michigan,Wayne,143.85796545105566,137365.1791831357,96.3104118123206,1
7afb4fbc-0794-4e70-84ad-d22a081c66ae,2024-10-27T17:39:31Z,Unknown,453169.0,1.0,1.0,2843.0,Unknown,Unknown,Unknown,159.3981709461836,537676.855,270.8086902008121,0
f87c8ae6-75d4-4d1d-8830-92f917c9c215,2024-10-27T17:39:31Z,34746.0,860000.0,3.0,3.0,2500.0,Kissimmee,Florida,Unknown,344.0,446039.73913043475,178.4158956521739,1
465cf018-1a84-4256-9ca9-2c3abb5508b2,2024-10-27T17:39:31Z,23454.0,559000.0,3.0,2.0,1959.0,Virginia Beach,Virginia,Virginia Beach,285.3496681980602,569897.8429378531,260.31958761612316,1
de077fe2-1dff-4b37-b4a7-8b84396baab4,2024-10-27T17:39:31Z,40214.0,254900.0,3.0,2.0,1750.0,Louisville,Kentucky,Jefferson,145.65714285714284,297231.5438401776,156.73742976048058,0
3910e8ea-7e6b-40fe-93ce-51d9f5d174e1,2024-10-27T17:39:31Z,76131.0,389845.0,3.0,3.0,2500.0,Fort Worth,Texas,Unknown,155.938,415520.9534883721,196.3133662925998,0
437af460-8a71-44f6-a30c-9df8ca07bb6e,2024-10-27T17:39:31Z,68107.0,145000.0,2.0,1.0,903.0,Omaha,Nebraska,Douglas,160.57585825027687,351441.5151162791,165.89611196938864,0
6cfc92b1-6af5-466f-bae3-34503893ce35,2024-10-27T17:39:31Z,33414.0,560000.0,3.0,3.0,2500.0,Wellington,Florida,Unknown,224.0,1045380.0,418.15199999999993,0
0dff1fee-d4ca-4246-829d-332b11be28c6,2024-10-27T17:39:31Z,27962.0,162500.0,3.0,3.0,2500.0,Plymouth,North Carolina,Unknown,65.0,420068.46153846156,168.02738461538462,0
f178f6b1-68a2-480f-b244-f1846316d3cd,2024-10-27T17:39:31Z,Unknown,1800000.0,5.0,5.0,4490.0,Bellevue,Unknown,Unknown,400.89086859688194,878851.9243806284,331.7117631723125,1
e0e3c5d9-d54c-4f60-a3c8-f2e83f5dd5e7,2024-10-27T17:39:31Z,92545.0,450000.0,3.0,3.0,2500.0,Hemet,California,Unknown,180.0,377108.9090909091,150.84356363636363,1
8719b97d-0d72-41b2-8f0b-b4befa241fc3,2024-10-27T17:39:31Z,Unknown,304700.0,2.0,1.0,740.0,Seattle,Unknown,Unknown,411.7567567567568,734215.6684438954,424.37797356681955,0
d464f371-3f00-4a50-bf21-5a0d326afc4b,2024-10-27T17:39:31Z,60614.0,3995000.0,4.0,5.0,8600.0,Chicago,Illinois,Cook,464.5348837209302,505842.60876369325,266.22420747980317,1
230bc228-cc25-48a2-b3cb-cce8e3c23d18,2024-10-27T17:39:31Z,70116.0,639000.0,6.0,4.0,2600.0,New Orleans,Louisiana,Orleans,245.76923076923077,484183.95249695494,239.3294423596209,1
