zipcode,price,bedrooms,bathrooms,sqft_living,city,state,county
10306.0,1150000.0,6.0,2.0,2554.0,Staten Island,New York,Richmond
10306.0,399000.0,3.0,1.0,1280.0,Staten Island,New York,Richmond
10306.0,247450.0,2.0,1.0,548.0,Staten Island,New York,Richmond
10306.0,1245000.0,4.0,3.0,2388.0,Staten Island,New York,Richmond
10306.0,765000.0,3.0,3.0,1170.0,Staten Island,New York,Richmond
10306.0,949999.0,5.0,3.0,2184.0,Staten Island,New York,Richmond
10306.0,599000.0,3.0,2.0,1480.0,Staten Island,New York,Richmond
10306.0,949999.0,5.0,3.0,2184.0,Staten Island,New York,Richmond
10306.0,765000.0,3.0,3.0,1170.0,Staten Island,New York,Richmond
10306.0,575000.0,2.0,3.0,1500.0,Staten Island,New York,Richmond
10306.0,798000.0,3.0,2.0,1750.0,Staten Island,New York,Richmond
10306.0,1375000.0,6.0,5.0,2892.0,Staten Island,New York,Richmond
10306.0,765000.0,3.0,3.0,1040.0,Staten Island,New York,Richmond
10306.0,599000.0,3.0,2.0,1480.0,Staten Island,New York,Richmond
10307.0,939000.0,3.0,3.0,1754.0,Staten Island,New York,Richmond
10307.0,939000.0,3.0,3.0,1754.0,Staten Island,New York,Richmond
10307.0,989900.0,3.0,2.0,1975.0,Staten Island,New York,Richmond
10308.0,1800.0,1.0,1.0,700.0,Staten Island,New York,Richmond
10308.0,625000.0,3.0,2.0,1040.0,Staten Island,New York,Richmond
10308.0,589000.0,2.0,2.0,1690.0,Staten Island,New York,Richmond
10308.0,725000.0,4.0,2.0,2206.0,Staten Island,New York,Richmond
10308.0,3200.0,3.0,2.0,1274.0,Staten Island,New York,Richmond
10308.0,1250000.0,5.0,3.0,2674.0,Staten Island,New York,Richmond
10308.0,888888.0,4.0,3.0,2088.0,Staten Island,New York,Richmond
10308.0,589000.0,2.0,2.0,1690.0,Staten Island,New York,Richmond
10308.0,1579900.0,6.0,5.0,3550.0,Staten Island,New York,Richmond
10308.0,625000.0,3.0,2.0,1040.0,Staten Island,New York,Richmond
10308.0,589000.0,2.0,2.0,1690.0,Staten Island,New York,Richmond
10309.0,879999.0,4.0,3.0,2630.0,Staten Island,New York,Richmond
10309.0,739999.0,3.0,2.0,1008.0,Staten Island,New York,Richmond
10309.0,1378000.0,4.0,4.0,2920.0,Staten Island,New York,Richmond
10309.0,1249999.0,4.0,4.0,3528.0,Staten Island,New York,Richmond
10309.0,785000.0,4.0,3.0,1500.0,Staten Island,New York,Richmond
10309.0,799000.0,3.0,2.0,1600.0,Staten Island,New York,Richmond
10309.0,849888.0,4.0,4.0,1800.0,Staten Island,New York,Richmond
10309.0,2200.0,2.0,1.0,1100.0,Staten Island,New York,Richmond
10309.0,649998.0,3.0,3.0,1480.0,Staten Island,New York,Richmond
10309.0,859999.0,4.0,3.0,2630.0,Staten Island,New York,Richmond
10309.0,1050000.0,4.0,4.0,3305.0,Staten Island,New York,Richmond
10309.0,1299999.0,3.0,4.0,3300.0,Staten Island,New York,Richmond
